targetingTimeMilliseconds,targetingTimeMicroseconds,targetPosition,targetEdgesFromLeft,groundTruthPosition,estimatedPosition,estimatedEdgesFromLeft,timeSinceLastEdge,timeBetweenLastEdges,forwardsEdgesSinceLastLimit,backwardsEdgesSinceLastLimit,lastLimit,timeSinceLastLimit,edgesBetweenLimits,atLeftLimit,atRightLimit,opticalSensorDarkness,motorDirection,motorDuty
0,368,423,9,0,0,0,3307,0,0,0,-1,1002,24,1,0,0,0,255
2,2708,423,9,0,0,0,3309,0,0,0,-1,1005,24,1,0,0,0,255
6,7016,423,9,0,0,0,3313,0,0,0,-1,1009,24,1,0,0,1,255
11,11360,423,9,0,0,0,3318,0,0,0,-1,1013,24,1,0,0,1,255
15,15728,423,9,0,0,0,3322,0,0,0,-1,1017,24,1,0,0,1,255
19,20380,423,9,0,0,0,3326,0,0,0,-1,1023,24,1,0,0,1,255
25,25136,423,9,0,0,0,3332,0,0,0,-1,1027,24,1,0,0,1,255
30,29896,423,9,0,0,0,3337,0,0,0,-1,1032,24,1,0,0,1,255
34,34660,423,9,0,0,0,3341,0,0,0,-1,1037,24,1,0,0,1,255
39,39416,423,9,0,0,0,3346,0,0,0,-1,1041,24,1,0,0,1,255
44,44176,423,9,0,0,0,3351,0,0,0,-1,1046,24,1,0,0,1,255
48,48936,423,9,0,0,0,3355,0,0,0,-1,1051,24,1,0,0,1,255
53,53696,423,9,0,0,0,3360,0,0,0,-1,1055,24,1,0,0,1,255
58,58456,423,9,0,0,0,3365,0,0,0,-1,1060,24,1,0,0,1,255
62,63216,423,9,0,0,0,3369,0,0,0,-1,1066,24,1,0,0,1,255
68,67984,423,9,1,0,0,3375,0,0,0,-1,1070,24,1,0,0,1,255
73,72752,423,9,0,0,0,3380,0,0,0,-1,1075,24,1,0,0,1,255
77,77496,423,9,0,0,0,3384,0,0,0,-1,1080,24,1,0,0,1,255
82,82256,423,9,0,0,0,3389,0,0,0,-1,1084,24,1,0,0,1,255
87,87020,423,9,0,0,0,3393,0,0,0,-1,1089,24,1,0,0,1,255
91,91776,423,9,0,0,0,3398,0,0,0,-1,1094,24,1,0,0,1,255
96,96536,423,9,0,0,0,3403,0,0,0,-1,1098,24,1,0,0,1,255
100,101352,423,9,0,0,0,3407,0,0,0,-1,1103,24,1,0,0,1,255
105,106288,423,9,6,0,0,3412,0,0,0,-1,1109,24,1,0,6,1,255
111,111252,423,9,11,42,1,3,3415,1,0,-1,1114,24,0,0,11,1,255
116,116412,423,9,18,42,1,8,3415,1,0,-1,1119,24,0,0,19,1,255
121,121600,423,9,27,42,1,13,3415,1,0,-1,1124,24,0,0,25,1,255
126,126896,423,9,31,85,2,4,15,2,0,-1,1129,24,0,0,32,1,255
131,131884,423,9,40,85,2,8,15,2,0,-1,1134,24,0,0,40,1,255
136,136892,423,9,48,85,2,13,15,2,0,-1,1139,24,0,0,48,1,255
141,141992,423,9,55,85,2,18,15,2,0,-1,1144,24,0,0,55,1,255
146,147092,423,9,61,85,2,23,15,2,0,-1,1149,24,0,0,61,1,255
152,152196,423,9,68,85,2,29,15,2,0,-1,1155,24,0,0,68,1,255
157,157324,423,9,78,127,3,3,31,3,0,-1,1160,24,0,0,78,1,255
162,162392,423,9,85,127,3,8,31,3,0,-1,1165,24,0,0,85,1,255
167,167488,423,9,92,127,3,13,31,3,0,-1,1170,24,0,0,92,1,255
172,172684,423,9,102,127,3,18,31,3,0,-1,1175,24,0,0,102,1,255
177,178040,423,9,111,127,3,24,31,3,0,-1,1180,24,0,0,112,1,255
