episodeID,targetPosition,finalGroundTruthPosition,score
1,325,156,-1885610
2,571,389,-9250371
3,547,528,-2698810
4,871,811,-582980
5,160,160,-138463
6,93,94,-16667489
7,507,494,-3309162
8,776,778,-10577504
9,336,312,-7097574
10,669,661,-6978586
11,389,259,-3687657
12,86,88,-600
13,729,413,-18524643
14,454,37,-19204464
15,496,47,-27656396
16,604,38,-42741807
17,846,939,-19567461
18,571,606,-2394431
19,417,193,-3519805
20,757,777,-11335169
21,843,945,-7588154
22,360,486,-7598917
23,490,477,-3008019
24,254,40,-7377163
25,187,157,-11739238
26,802,817,-335679
27,583,279,-6927610
28,374,358,-1440661
29,665,649,-1210115
30,930,971,-130213
31,667,624,-946076
32,555,395,-5018738
33,825,867,-13553452
34,488,469,-3552596
35,439,441,-2162686
36,152,101,-12933894
37,743,857,-903755
38,861,884,-13332641
39,597,415,-8579365
40,443,414,-4526793
41,814,850,-293376
42,544,534,-4006942
43,379,189,-3763661
44,726,823,-813789
45,236,235,-324181
46,76,53,-85666
47,616,382,-11680200
48,478,140,-15363260
49,931,903,-132990
50,534,580,-2974950
51,739,790,-977385
52,456,255,-3904005
53,595,480,-7283001
54,500,126,-9135166
55,556,292,-23004591
56,647,627,-1283263
57,580,571,-4494143
58,560,537,-2342623
59,488,511,-3474047
60,65,39,-17124968
61,533,507,-2959350
62,887,924,-17055088
63,714,466,-15489658
64,627,188,-26567993
65,945,947,-18609943
66,881,907,-15551428
67,97,68,-15652197
68,149,66,-97184
69,527,521,-3949647
70,836,861,-14333382
71,319,304,-7242766
72,176,90,-12933644
73,416,377,-1683538
74,135,96,-13419557
75,227,225,-304717
76,604,577,-1983532
77,736,746,-10020813
78,727,849,-1013281
79,529,540,-2790837
80,572,572,-2421465
81,180,224,-13788289
82,383,348,-1192649
83,415,503,-5265585
84,879,870,-243549
85,328,317,-908067
86,323,151,-1682979
87,684,432,-14540396
88,900,860,-278506
89,294,285,-662739
90,470,236,-4739853
91,100,54,-527926
92,520,175,-18635581
93,621,594,-1602046
94,709,707,-8110514
95,292,284,-8423058
96,468,461,-2733988
97,739,747,-745222
98,124,88,-14927961
99,192,217,-12359735
100,112,65,-118404
101,136,81,-14128446
102,381,347,-1478738
103,825,792,-367598
104,490,484,-2843601
105,197,181,-11294140
106,638,461,-7484362
107,668,656,-9572151
108,647,496,-8780368
109,239,194,-9957715
110,451,180,-3584766
111,419,85,-6693910
112,274,61,-2310845
113,669,715,-1243691
114,568,560,-4518442
115,745,488,-17207900
116,367,334,-6523467
117,81,40,-16115862
118,690,713,-1017194
119,352,273,-6863527
120,224,221,-312009
121,942,968,-18254572
122,894,870,-137997
123,411,404,-1810160
124,282,239,-8557012
125,754,889,-910383
126,921,848,-16300064
127,624,603,-1629266
128,921,901,-166133
129,850,840,-708232
130,130,128,-79523
131,150,40,-172950
132,237,176,-2055361
133,615,224,-23541807
134,338,38,-10131718
135,678,648,-1099354
136,440,439,-4249368
137,412,171,-11477823
138,362,351,-1216545
139,952,981,-19173823
140,202,268,-11965966
141,392,382,-1498108
142,480,331,-5308085
143,453,256,-6148635
144,912,835,-17308994
145,413,55,-18505684
146,693,63,-62541099
147,142,98,-13516221
148,643,438,-7746450
149,337,208,-1789382
150,366,338,-6439869
151,532,291,-4973647
152,174,142,-12460215
153,911,841,-16151834
154,76,49,-18281231
155,157,154,-170426
156,181,156,-12179019
157,256,251,-440144
158,868,852,-14348386
159,229,215,-10523352
160,525,513,-3399916
161,761,753,-12134165
162,226,45,-1414846
163,509,448,-9624834
164,889,855,-234293
165,627,728,-1704346
166,792,802,-372238
167,386,381,-5486029
168,276,208,-1287353
169,104,112,-16505220
170,74,50,-90632
171,807,777,-418091
172,524,542,-2979142
173,384,163,-10998923
174,128,125,-14389911
175,388,323,-1857083
176,178,182,-12043408
177,284,182,-9177398
178,741,770,-1360958
179,329,345,-8309096
180,618,495,-7255018
181,378,184,-7418852
182,316,40,-6625752
183,147,110,-14046829
184,155,185,-13122254
185,156,126,-14644089
186,296,207,-9032695
187,378,295,-8085454
188,399,199,-4447258
189,388,165,-4302697
190,315,294,-8073665
191,167,200,-13507315
192,314,290,-1324647
193,84,40,-248372
194,475,193,-14585757
195,338,36,-7798429
196,810,368,-34718160
197,86,36,-281207
198,361,36,-13453413
199,569,558,-2207676
200,947,953,-17409
201,167,177,-149288
202,142,118,-14938603
203,247,241,-363812
204,208,232,-561119
205,376,387,-5985448
206,790,788,-11038632
207,193,184,-11851632
208,209,210,-254377
209,862,864,-13883738
210,904,963,-137055
211,246,258,-415398
212,507,488,-3304756
213,113,106,-46383
214,322,117,-1782505
215,762,608,-16030462
216,891,852,-274552
217,626,698,-1587835
218,618,609,-1568048
219,935,931,-41666
220,75,39,-15910669
221,920,891,-145721
222,239,172,-9982364
223,561,490,-2921091
224,876,936,-15066085
225,648,635,-1330790
226,127,124,-54925
227,657,627,-1356084
228,671,647,-6648061
229,205,265,-873761
230,912,887,-125582
231,471,491,-3822741
232,240,272,-9891216
233,303,230,-1172570
234,71,41,-17208569
235,605,483,-6425242
236,576,563,-2088463
237,766,805,-648585
238,308,257,-839847
239,570,558,-2141794
240,294,233,-9060941
241,409,113,-15092683
242,725,60,-25031524
243,113,107,-39504
244,845,901,-14511392
245,227,184,-9643585
246,383,385,-1471129
247,773,746,-534850
248,933,949,-106134
249,233,297,-9725862
250,672,713,-1307968
251,940,972,-17378502
252,684,693,-7091853
253,244,234,-9623099
254,320,327,-819296
255,286,363,-8457012
256,570,564,-4148178
257,798,768,-433694
258,457,464,-3967688
259,621,613,-5541007
260,600,470,-7738070
261,891,868,-19254931
262,707,664,-1029487
263,337,325,-1136882
264,206,304,-727148
265,519,58,-14735601
266,935,979,-16680250
267,885,867,-114368
268,470,211,-11078107
269,397,176,-2923214
270,193,160,-11464137
271,281,203,-9466948
272,505,496,-3053142
273,184,139,-11921358
274,348,247,-7389805
275,451,452,-2148764
276,258,175,-971733
277,656,632,-1226021
278,95,101,-21590
279,919,946,-18158687
280,275,235,-8483473
281,355,346,-1260713
282,619,443,-10146117
283,343,117,-6274250
284,663,621,-1379005
285,916,855,-186684
286,874,904,-306754
287,622,630,-5329485
288,566,543,-2210152
289,940,920,-88443
290,851,911,-13129786
291,648,421,-6355262
292,273,244,-9105574
293,894,882,-368858
294,890,896,-15230603
295,184,226,-522109
296,622,314,-16274378
297,754,720,-677708
298,140,145,-73192
299,650,598,-1448674
300,511,521,-2862070
301,840,701,-904156
302,64,40,-16716197
303,516,454,-3923821
304,422,559,-6476403
305,616,778,-2152537
306,411,202,-9532029
307,179,180,-12440059
308,455,441,-4000703
309,634,306,-8673585
310,348,220,-2021890
311,536,329,-8175881
312,826,797,-322690
313,783,871,-494800
314,524,522,-3457509
315,432,303,-3911859
316,758,495,-14493480
317,657,641,-1321777
318,478,490,-3580142
319,945,957,-33034
320,568,559,-4184545
321,719,487,-13796469
322,708,663,-1035098
323,480,470,-2674409
324,712,486,-13541993
325,865,821,-387313
326,930,889,-170919
327,849,851,-13216757
328,898,891,-15332458
329,421,128,-11239620
330,881,847,-246257
331,765,807,-723201
332,219,263,-11781659
333,916,884,-182812
334,560,599,-2489845
335,542,491,-3663986
336,341,146,-1985670
337,826,654,-18433966
338,135,212,-14675968
339,132,200,-13224398
340,84,49,-16603695
341,583,523,-5351314
342,771,652,-13753615
343,475,103,-15831797
344,683,715,-1110810
345,277,188,-9619652
346,306,283,-884557
347,339,457,-7696995
348,140,145,-73873
349,543,522,-2506283
350,236,227,-355120
351,732,738,-792474
352,428,412,-4515855
353,465,476,-2442624
354,240,264,-9516141
355,872,876,-512540
356,951,869,-1079099
357,797,349,-25857719
358,328,326,-1148449
359,928,973,-18613073
360,936,944,-18457671
361,388,331,-5782022
362,843,824,-248079
363,868,802,-15014132
364,258,260,-9945090
365,704,679,-8253806
366,955,985,-18343680
367,659,660,-1314834
368,684,669,-7238647
369,534,503,-2786600
370,205,188,-261839
371,796,53,-1102613
372,433,322,-6041239
373,833,777,-624347
374,310,208,-9198281
375,799,662,-11914396
376,799,856,-11421009
377,133,156,-13554016
378,297,124,-954323
379,393,410,-6862626
380,166,198,-12132042
381,110,114,-103345
382,892,911,-13897963
383,834,586,-17159966
384,763,386,-25340771
385,570,37,-35914925
386,414,420,-5948172
387,184,216,-11467381
388,161,565,-4756219
389,473,298,-4615659
390,570,309,-18169842
391,450,624,-7868941
392,301,327,-1415937
393,903,895,-14737813
394,537,697,-6625150
395,280,182,-9272446
396,796,816,-374160
397,402,426,-7647886
398,671,663,-1309997
399,282,87,-2374519
400,111,148,-2491659
401,880,808,-14436527
402,942,984,-15524820
403,391,439,-5899690
404,932,920,-77083
405,264,114,-9950844
406,227,331,-12501496
407,876,903,-13572079
408,79,43,-203565
409,212,273,-11033754
410,642,302,-8055038
411,324,507,-8744557
412,145,138,-169666
413,731,819,-919767
414,78,39,-15613113
415,613,413,-7252616
416,601,450,-5839315
417,107,92,-264874
418,863,815,-438513
419,506,153,-6217595
420,258,128,-976575
421,575,342,-13615787
422,826,554,-19010500
423,767,725,-611488
424,742,714,-8047602
425,463,633,-6915598
426,710,770,-932527
427,330,107,-9035982
428,315,147,-3367920
429,666,491,-9624933
430,422,182,-8802772
431,683,690,-1184334
432,425,442,-1884921
433,615,592,-1822803
434,792,501,-13561507
435,742,705,-792750
436,794,766,-10350897
437,825,783,-471036
438,321,135,-2065620
439,162,86,-533907
440,124,228,-394994
441,939,984,-15916224
442,936,899,-177929
443,118,136,-97791
444,896,891,-13462979
445,577,624,-2256244
446,165,228,-13641620
447,105,178,-15593038
448,608,438,-7074316
449,517,536,-3739122
450,468,119,-11975058
451,89,81,-15784399
452,156,175,-12759060
453,883,841,-318509
454,151,247,-13513047
455,99,121,-15502273
456,123,117,-14103766
457,384,535,-6675080
458,330,249,-2442245
459,890,854,-223805
460,940,985,-15863591
461,160,244,-12879187
462,925,881,-289499
463,578,629,-4388333
464,402,66,-6432104
465,585,555,-2071884
466,662,739,-1202797
467,171,99,-11853076
468,732,673,-7649807
469,600,573,-1856892
470,915,910,-14551362
471,825,822,-199855
472,268,124,-1277796
473,462,472,-3825881
474,163,239,-12605723
475,417,481,-6777160
476,652,320,-9842878
477,108,366,-2792416
478,898,868,-178848
479,491,487,-3660061
480,390,161,-13738771
481,343,63,-9723063
482,830,772,-623700
483,602,253,-7789822
484,216,116,-535986
485,808,770,-433518
486,867,774,-1389917
487,650,640,-1294052
488,526,140,-9753967
489,555,511,-2559732
490,436,425,-4470505
491,899,860,-219736
492,656,300,-9467328
493,201,182,-280912
494,600,346,-10124351
495,653,637,-1309602
496,866,871,-466982
497,783,704,-9863730
498,434,536,-5744679
499,476,465,-3819856
500,539,268,-7758326
